news_headline,news_article,news_category,compound,Review
twitter restricts account new zealand professor mocked xi restores later,new zealand professor annemarie brady specialise chinese politics say twitter restrict account mock chinese president xi jinping tweet brady tweet opinion article write caption alternative headline xi party I cry want tweet also make unavailable temporarily,world,-0.6705,negative
govt issues statement stan swamys death criticism eu un officials,criticism un eu human right officials arrest activist father stan swamys death centre say swamy arrest follow due process law swamys bail applications reject specific nature charge say government add india act violations law not legitimate exercise right,world,-0.9493,negative
2 army personnel held spying leaking 900 secret documents paks isi,punjab police arrest two army personnel allegedly spy leak information pakistans interservices intelligence accuse sepoys harpreet singh gurbhej singh age 23 send picture 900 classify document pertain defence national security pakistani officer punjab dgp dinkar gupta say allegedly collude crossborder drug smuggler,world,-0.4215,negative
since became refugee I taken full advantage indias freedom dalai lama,86th birthday tibetan spiritual leader dalai lama say since become refugee settle india take full advantage indias freedom religious harmony also appreciate indias concept secular value not dependent religion honesty karuna compassion ahimsa nonviolence add commit principles,world,0.939,positive
egypt ends 3monthlong impounding ship blocked suez canal,egyptian court tuesday lift threemonthlong impound huge container ship ever give block suez canal six days earlier year ship would allow leave canal wednesday ceremony suez canal authority reach settlement ship owners damage suffer due canal blockage,world,-0.7351,negative
parts russian plane went missing found 28 people board feared dead,wreckage antonov an26 plane go miss tuesday kamchatka peninsula russias far east find near airport town palana accord officials 28 people board plane fear dead sergei gorb deputy director kamchatka aviation enterprise say plane practically crash sea cliff,world,-0.8957,negative
pak closes main border afghanistan limit covid19 spread,pakistan tuesday close main border cross point afghanistan limit spread covid19 type immigration departure arrival close today torkham border interior minister sheikh rashid say two countries multiple cross point torkham one commonly use cross thousands travellers every day,world,0.0,negative
chinese city near myanmar imposes lockdown amid covid19 outbreak,ruili chinese city border myanmar step efforts fight third coronavirus outbreak several locally transmit case report ruili initiate mass test impose lockdown prevent people enter leave city unless prove travel necessary jiegao border community name mediumrisk area tuesday,world,-0.5994,negative
1 injured stabbing outside dsseldorf airport germany,one person injure stab incident park lot dsseldorf airport germany police say tuesday stab suspect result argument among homeless people add spokesperson police say assailant flee scene seek,world,-0.9062,negative
5 terrorists killed security operation pakistans quetta,pakistans counterterrorism department ctd tuesday say five terrorists kill security operation quetta city balochistan province ctd claim weapons ammunition recover slay terrorists come pakistan prime minister imran khan say monday deliberate hold talk insurgents balochistan,world,-0.9371,negative
arabia plans invest 133bn become global transportation hub,saudi arabia aim become global transportation logistics hub 2030 invest 133 billion airports seaports rail infrastructure decade transport minister say country aim increase annual passenger traffic 103 million 2019 330 million 2030 head aviation authority say,world,0.3818,positive
16 security personnel killed taliban attack afghanistan,least 16 security personnel kill attack taliban security checkpoint salma dam afghanistans herat province sunday checkpoint equipment reportedly fall hand taliban notably afghanistan witness surge violence taliban intensify offensive government,world,-0.836,negative
good progress achieved iran talks rival arabia,iranian government spokesman tuesday say good progress make talk iran regional rival saudi arabia dispute two countries complex may take time resolve add effort contain tensions saudi arabia iran begin direct talk april,world,0.4404,positive
irans outgoing prez rouhani apologises summer power outages,irans outgo president hassan rouhani apologise tuesday countrys severe summer power outages blackouts cripple businesses darken home hours day apologies topeople face problems pain say recent days regular blackouts spread chaos tehran cities knock traffic light shut factories,world,-0.8658,negative
uk foreign office apologises historical ban lgbt staff,uks foreign commonwealth development office fcdo apologise historical ban hire lgbt staff lift 1991 ban place perception lgbt people susceptibleto blackmail thereforeposed security risk philip barton permanent undersecretary fcdo say misguide view end career add,world,-0.6486,negative
israel attacked civilian nuclear site june iran,iran tuesday accuse israel sabotage attack june reportedly target civilian nuclear facility near tehran state media report cabinet spokesman ali rabiei allege attack seek thwart ongoing talk vienna revive irans nuclear deal world power irna news agency report rabiei add limit damage sabotage attempt,world,-0.9393,negative
china us coexist peace challenge enormous wh,white house indopacific coordinator kurt campbell tuesday say possible china us coexist peace challenge enormous china become increasingly assertive recent time take many countries simultaneously add strategy contrast china operate 1990s say,world,0.5859,positive
ready help tajikistan secure border afghanistan russia,russia monday say ready help tajikistan secure border afghanistan amid advance taliban fighters afghan force russia operate one largest military base abroad tajikistan accord source 70 oftajikafghan border control bytaliban russian deputy foreign minister andrey rudenko say,world,0.7506,positive
uyghur community france protests china xinjiang,uyghur community france monday hold protest report mistreatment meted fellow people chinas xinjiang protest organise association des oughours de france mean medium raise awareness allege ongoing genocide protesters wave communitys blue flag shout slogans atrocities china uyghurs,world,-0.5994,negative
4 bodies found rubble building us total deaths 32,four body recover rubble collapse residential build us florida take total death toll 32 fire official say tuesday 110 others still miss since collapse june 24 no one rescue alive since first hours build collapse accord ap,world,-0.9589,negative
latest cricket world cup super league points table read,england accumulate 25 point 20 series win sri lanka consolidate position top cricket world cup super league point table bangladesh second 50 point table follow australia pakistan 40 point topseven rank team automatically qualify 2023 world cup,sports,0.8591,positive
mohammad azharuddin reinstated hyderabad cricket association president,former team india captain mohammad azharuddin reinstate president hyderabad cricket association sunday ombudsman justice retd deepak verma interim order ombudsman temporarily disqualify five members apex council suspend azharuddin allege violation constitution allegations conflict interest level azharuddin,sports,-0.1027,negative
covid19 outbreak forces england change entire odi squad pakistan series,england name new odi squad series pakistan include nine uncapped players ben stoke captain side first time announcement come three members initial play group four members management staff test positive covid19 consequently entire initial squad require isolate,sports,0.6369,positive
mithali raj becomes world number one womens odi batter 8th time,india women captain mithali raj reclaim world number one spot icc womens odi rank eighth time 22year career mithali grab number one position mithali hit four consecutive odi fifties gain four spot reach top rank latest weekly update,sports,0.7096,positive
read criticism strike rate not look please people mithali raj,india women odi captain mithali raj say read criticism strike rate not seek validation people I play long time knowI certain responsibility team not look please people say mithali score 285 run last four odi innings strike rate 73,sports,-0.3318,negative
harsha bhogle calls coronavirus chinese virus defends criticism,commentator harsha bhogle call coronavirus chinese virus tweet england team members test positive several people criticise one write unlike absolutely no need politicise noticeduse ofsouth african variantbrazil variant andindian variant guess norm refer something bycountry origin bhogle defend,sports,-0.2006,negative
ice hockey player dies firework blasts chest house party us,matiss kivlenieks 24yearold columbus blue jacket goaltender compete us national hockey league die firework blast chest fourth july house party police say hot tub incident take place also suffer head injury rush get medical examiner rule kivleniekss death accidental,sports,-0.9136,negative
7 members england party test positive ahead pakistan odis stokes named captain,ecb today announce seven members three players four management team members england mens odi party test positive covid19 members selfisolate per governments protocol quarantine remain members deem close contact also isolate meanwhile ben stoke name captain,sports,0.6705,positive
bitter pill swallow paine australia missing reaching wtc final,talk australia not able reach wtc final lose four point due slow overrate captain tim paine say bitter pill swallow team dock point add unfortunately team think bear brunt overrate,sports,-0.789,negative
novak djokovic reaches grand slam quarterfinals 50th time,world number one novak djokovic reach 50th grand slam quarterfinal monday straightsets victory chiles cristian garin wimbledon 34yearold reach 12th quarterfinal wimbledon beat garin 62 64 62 face hungarys marton fucsovics place semifinals,sports,0.2263,positive
mary kom manpreet singh bajrang punia indias flagbearers tokyo olympics,sixtime world champion boxer mary kom indian mens hockey team captain manpreet singh flag bearers indian contingent open ceremony tokyo olympics july 23 indian olympic association announce wrestler bajrang punia flagbearer close ceremony august 8 around 126 indian athletes take part game,sports,0.5994,positive
jaffer shares phool aur kaante meme reports shaw could sent uk surface,wasim jaffer take twitter share meme phool aur kaante report prithvi shaw could send uk shubman gills replacement surface shaw currently sri lanka limitedovers series meme ajay devgn name prithvi two bike balance term engvind slvind,sports,0.296,positive
indias 26member squad athletics event tokyo olympics announced,athletics federation india afi announce 26member team compete tokyo olympics 26 athletes 12 individual athletes include sprinter dutee chand 4x400m mix relay team attain world athletics entry standards secure automatic berth neeraj chopra shivpal singh represent india mens javelin throw event,sports,0.34,positive
delighted named player odi series india ecclestone,england women spinner sophie ecclestone monday say delight name player series performances recently conclude threematch odi series india women ecclestone take eight wickets three match england women beat india women 21 india women play three t20is england women,sports,0.743,positive
australian gp cancelled 2nd straight year due covid19,australian formula one grand prix 2021 cancel second straight year due restrictions logistical challenge relate ongoing covid19 pandemic announce organisers grand prix due hold albert park grand prix circuit melbourne november 1821 move usual date march,sports,0.8481,positive
not words mary kom named flagbearer olympics,name indias flagbearer open ceremony tokyo olympics sixtime world champion boxer mary kom say not word express happiness last olympics flagbearer really big thing say mary indian mens hockey team captain manpreet singh also name flagbearer alongside mary,sports,0.2444,positive
wimbledon 4th round loss augeraliassime not hurt much zverev,lose fourth round match 16th seed felix augeraliassime 46 6768 63 63 46 wimbledon monday world number six alexander zverev say loss not hurt much not play anywhere near level I suppose play grand slami give rival augeraliassime many gift pointsespecially important moments add,sports,0.7303,positive
excited play coach dravid sl series suryakumar yadav,ahead team indias limitedovers series sri lanka india batsman suryakumar yadav say excite play coach rahul dravid add look forward first tour dravid I hear many players dravid sir calm compose come role add,sports,0.7783,positive
barty jabeur reach first quarterfinals wimbledon,world number one ashleigh barty defeat french open champion barbora krejcikova 75 63 fourthround advance wimbledon quarterfinals first time fourthround match tunisias ons jabeur beat 7th seed iga swiatek 57 61 61 become first arab north african man woman reach wimbledon quarterfinals since egypts ismail el shafei 1974,sports,0.3182,positive
manpreet 2nd hockey captain mithapur flagbearer olympics,indian mens hockey team captain manpreet singh become sixth hockey player second mithapur jalandhar name flagbearer country open ceremony olympics grow upplaying hockey mithapur village name flagbeareris big honour say manpreet excaptain pargat singh mithapur flagbearer 1996 olympics,sports,0.5719,positive
pdp not meet jk delimitation commission says outcome preplanned,mehbooba muftis pdp not meet jammu kashmir delimitation commission party general secretary ghulam nabi lone hanjura say letter commission head justice retd ranjana prakash desai claim outcome delimitation exercise preplanned may hurt interest people commission arrive jk tuesday,politics,0.6705,positive
move court uncle paras gets cabinet berth ljp quota chirag,ljp leader chirag paswan say estrange uncle pashupati kumar paras give cabinet berth party quota go court add make aminister ljp quota not possible party executive board expel himif make minister independent mp jdu no problem,politics,-0.0516,negative
lakshadweep administration denies entry permit 8 ldf mps,lakshadweep administration reject application eight leave democratic front ldf mps include elamaram kareem binoy viswam entry permit ut cite police report ut administration state propose visit mps kerala may provoke local people political partiesactivists social workers present administration lead protest,politics,-0.765,negative
seen leaders like sushma swaraj bjp different mamata,west bengal cm mamata banerjee tuesday say bjp members not know courtesy decency evident ruckus create governor jagdeep dhankhars assembly speech see bjp leaders like rajnath singh sushma swarajthis bjp however different add bjp mlas july 2 protest dhankhars speech postpoll violence incidents,politics,-0.5588,negative
maha bjp mlas protest suspension 12 legislators,maharashtra bjp mlas tuesday stag protest state assembly mumbai suspension 12 legislators come maharashtra speaker inchair bhaskar jadhav suspend mlas one year unruly behaviour never see behaviour entire legislative career 36 years jadhav remark,politics,-0.5106,negative
maharashtra govt introduces 3 bills counter centres farm laws,maharashtra government tuesday introduce three amendment bill state assembly counter centre farm laws lead widespread protest across nation bill provision higher msp rate produce farmers timebound payment dues threeyear jail term 5 lakh fine harass farmers,politics,-0.5267,negative
preliminary inquiry politically motivated sudhakaran,kerala congress president k sudhakaran say preliminary inquiry order vigilance anticorruption bureau politically motivate last one month strongly oppose ldf cm minister stop add come inquiry sudhakaran order corruption allegations follow complaint former driver,politics,0.0772,positive
athawale lead rpias protest mumbai demanding 5 muslim quota,republican party india president ramdas athawale tuesday stage demonstration mumbais azad maidan demand 5 reservation muslims protest issue obc maratha reservation increase antidalit incidents maharashtra also demand restoration 33 promotions government employees belong sc st vjnt sbc rpia mumbai president say,politics,0.34,positive
maha govt probe congs nana patoles phonetapping allegation,maharashtra government tuesday order highlevel inquiry allegation make congress leader nana patole phone tap previous bjpled government serious issueaction take responsible say state home minister dilip walse patil also add report table next assembly session,politics,0.25,positive
ram vilas paswan companion friend father tejashwi,rjd leader tejashwi yadav occasion party 25th foundation day remember ljp founder late ram vilas paswan today ram vilas paswan birthday companion friend father struggle together regret not us today say,politics,0.2023,positive
justice ventilator mahua moitra father stan swamys death,tmc leader mahua moitra react 84yearold father stan swamys demise say ashamed sadden justice ventilator country nia arrest october home latenight raid oppose bail say no conclusive proof ailments moitra tweet swamy die owe postcovid19 complications monday,politics,-0.8957,negative
telangana bjp chief launch padyatra hyderabad,telangana bjp unit president karimnagar mp bandi sanjay kumar sunday announce would organise padyatra foot march hyderabad august 9 say yatra aim create awareness among public allege failures rule trs government expose allege corrupt practice chief minister k chandrashekar rao,politics,-0.3612,negative
shameless pm failed country picture found everywhere mamata,west bengal cm mamata banerjee tuesday claim government force purchase covid19 vaccines centre fail say shameless pm fail country picture find everywhere vaccine certificate hoard banerjee add see many prime minister none shameless,politics,-0.8108,negative
ed summons mehbooba muftis mother money laundering case,enforcement directorate summon former jammu kashmir cm mehbooba muftis mother money launder case officials say gulshan nazir late seventies ask appear ed srinagar office july 14 mufti say summon send day pdp choose not meet delimitation commission,politics,0.0,negative
owaisi inaugurate 1st aimim office ahead assembly polls,ahead uttar pradesh assembly poll 2022 asaduddin owaisiled aimim set open firstparty office owaisi schedule arrive state inaugurate office bahraich district approximately 120 kilometres capital lucknow july 8 party earlier announce contest 100 seat,politics,0.4019,positive
government created mess cong leader shashi tharoor new portal,congress leader shashi tharoor criticise centre report glitches new income tax portal say even spend 4200 crore government fail attain objective create mess instead tharoor tweet charter accountants india professionals congress aipc inform change income tax portal disastrous,politics,-0.8934,negative
ktaka guv designate gehlot quit union minister tomorrow,bjp leader thawarchand gehlot name new karnataka governor tuesday say resign three position include rajya sabha mp union minister social justice empowerment person tomorrow president kovind pm modi show faith meI live expectation say president appoint new governors eight state,politics,0.5859,positive
farmers start protest outside parliament july 22 farm unions,farmers protest centre three new agricultural laws start demonstrate outside parliament july 22 samyukt kisan morcha skm say nearly 200 farmers protest outside parliament every day monsoon session farm organisations likeminded group also hold countrywide protest rise fuel price july 8 skm add,politics,-0.6124,negative
congress chief sonia meets priyanka ahead talks punjab cm,congress chief sonia gandhi party general secretary priyanka gandhi vadra meet tuesday ahead punjab cm captain amarinder singhs meet sonia come days priyanka gandhi vadra meet party leader navjot singh sidhu congress party constitute panel end differences singh sidhu factionalism punjab congress ahead assembly elections,politics,0.7964,positive
bjp giving political colour conversions hide failure mayawati,bahujan samaj party bsp president mayawati accuse bjp give political colour issue religious conversion attempt hide failures ahead 2022 assembly elections five state also strict legal action antiindia conspiracy matter mayawati add,politics,-0.6808,negative
11yrold aims immortality becomes worlds 2nd youngest graduate,belgiums 11yearold laurent simons become worlds secondyoungest graduate complete bachelor physics university antwerp one year first puzzle piece goal replace body part mechanical part say simons aim immortality us michael kearney graduate age 10 hold record worlds youngest graduate,technology,0.0,negative
amazon mistakenly sells 96700 split ac 5900 fixes error buy,amazon indias website briefly list 18ton inverter split air conditioner cost 96700 5900 due error accord india today report amazon users make purchase amazon realise error however report not specify happen order product later list 59000 39 discount,technology,-0.3182,negative
ceo failed silicon valley worth 19 bn returning japan,japan 48yearold entrepreneur takanori nakamura pull silicon valley 2015 mobile market software flop worth 19 billion nakamura move back japan currently serve president ceo cloudbased expense software firm rakus company share surge 4800 since ipo tokyo december 2015,technology,0.1779,positive
twitter not take long wants appoint grievance officer delhi hc,delhi high court tuesday express displeasure twitter delay appointment grievance redressal officer long process take twitter think take long want country I not allow judge say court add twitter mislead court not tell earlier appoint interim officer,technology,-0.6971,negative
not giving protection twitter centre free take action delhi hc,delhi high court pull twitter allege noncompliance new rule add not give protection twitter centre free take action twitter rule notify february 25 three months time compliance july 1 twitter fail comply rule,technology,-0.0516,negative
muslim womens pics shown deal day sui deals app github removed,application call sui deal opensource platform github remove criticism display muslim womens picture name deal day shock see face right display deal day pilot hana mohsin khan say sui derogatory term use refer muslim women,technology,-0.6705,negative
didi loses 22 billion china blocks app app stores,didis share slump much 30 us premarket trade tuesday wipe 22 billion market value come china order app store remove didis ridehailing app find illegally collect users personal data last week didi become biggest chinese company since alibaba list us stock exchange,technology,0.5574,positive
twitter restricts account new zealand professor mocked xi restores later,new zealand professor annemarie brady specialise chinese politics say twitter restrict account mock chinese president xi jinping tweet brady tweet opinion article write caption alternative headline xi party I cry want tweet also make unavailable temporarily,technology,-0.6705,negative
bezos refused take elevator ran 14 flights stairs office exassistant,amazon founder jeff bezos refuse take elevator amazons 14thfloor office would run step without break sweat bezos former executive assistant ann hiatt tell cnbc like puppy would lap never tire hiatt add bezos worlds richest person step amazons ceo monday,technology,0.6369,positive
british airways settles 4 lakh victims 2018 data breach,british airways settle case customers staff affect 2018 data breach lead personal information leak airline fin 277 million breach cause personal data four lakh people leak victims receive confidential settlement follow mediation british airways,technology,-0.7269,negative
