news_headline,news_article,news_category
"Twitter restricts account of New Zealand professor who mocked Xi, restores later","New Zealand Professor Anne-Marie Brady, who specialises in Chinese politics, has said that Twitter restricted her account after she mocked Chinese President Xi Jinping in her tweets. Brady had tweeted an opinion article which she had written and captioned, ""Alternative headline: ""Xi: It's my Party and I'll cry if I want to."" The tweets were also made unavailable temporarily.",world
"Govt issues statement on Stan Swamy's death after criticism by EU, UN officials","After criticism by UN and EU human rights officials over arrested activist Father Stan Swamy's death, the Centre has said that Swamy was arrested ""following due process under law"". Swamy's bail applications were rejected ""because of the specific nature of charges against him"", said the government, adding, ""India [acts] against violations of law and not against legitimate exercise of rights.""",world
"2 Army personnel held for spying, leaking 900 secret documents to Pak's ISI","Punjab Police have arrested two Army personnel for allegedly spying and leaking information to Pakistan's Inter-Services Intelligence. Accused Sepoys Harpreet Singh and Gurbhej Singh, both aged 23, sent pictures of 900 classified documents pertaining to defence and national security to Pakistani officers, Punjab DGP Dinkar Gupta said. They allegedly colluded with a cross-border drug smuggler.",world
"Since I became a refugee, I've taken full advantage of India's freedom: Dalai Lama","On his 86th birthday, Tibetan spiritual leader the Dalai Lama said, ""Since I became a refugee and now settled in India, I have taken full advantage of India's freedom and religious harmony."" He also appreciated India's concept of ""secular values, not dependent on religion but honesty, karuna (compassion) and ahimsa (non-violence)"". He added he himself is committed to these principles.",world
Egypt ends 3-month-long impounding of ship that blocked Suez Canal,An Egyptian court on Tuesday lifted a three-month-long impounding of the huge container ship Ever Given that blocked the Suez Canal for six days earlier this year. The ship would be allowed to leave the canal on Wednesday after a ceremony. The Suez Canal Authority has reached a settlement with the ship's owners over damages suffered due to canals' blockage.,world
"Parts of Russian plane that went missing found, all 28 people on board feared dead","Wreckage from the Antonov An-26 plane, which went missing on Tuesday in the Kamchatka peninsula in Russia's Far East, was found near the airport in the town of Palana, according to officials. All 28 people on board the plane are feared dead. Sergei Gorb, deputy director of Kamchatka Aviation Enterprise, said that the plane ""practically crashed into a sea cliff"".

",world
Pak closes main border with Afghanistan to limit COVID-19 spread ,"Pakistan on Tuesday closed its main border crossing point with Afghanistan to limit the spread of COVID-19. ""All types of immigration departure and arrival will be closed from today at Torkham border,"" Interior Minister Sheikh Rashid said. The two countries have multiple crossing points but Torkham is one of the most commonly used crossings by thousands of travellers every day. ",world
Chinese city near Myanmar imposes lockdown amid COVID-19 outbreak,"Ruili, a Chinese city bordering Myanmar, is stepping up efforts to fight a third coronavirus outbreak after several locally transmitted cases were reported. Ruili has initiated mass testing and imposed a lockdown to prevent people from entering or leaving the city unless they can prove their travel is necessary. The Jiegao border community was named a medium-risk area on Tuesday.",world
1 injured in stabbing outside Düsseldorf Airport in Germany,"One person was injured in a stabbing incident in the parking lot of the Düsseldorf Airport in Germany, the police said on Tuesday. The stabbing is suspected to have resulted from an argument among homeless people, they added. A spokesperson for the police said that the assailant had fled the scene and was being sought.",world
5 terrorists killed in security operation in Pakistan's Quetta,"Pakistan's Counter-Terrorism Department (CTD) on Tuesday said five terrorists were killed during a security operation in Quetta city of Balochistan province. The CTD claimed that weapons and ammunition were recovered from the slain terrorists. This comes as Pakistan Prime Minister Imran Khan had said on Monday that he is deliberating to ""hold talks with insurgents"" in Balochistan.",world
S Arabia plans to invest $133bn to become global transportation hub,"Saudi Arabia aims to become a global transportation and logistics hub by 2030 and will invest more than $133 billion in airports, seaports, rail and other infrastructure over the decade, its Transport Minister said. The country aims to increase its annual passenger traffic from 103 million in 2019 to 330 million by 2030, the head of the aviation authority said.",world
16 security personnel killed in Taliban attack in Afghanistan,"At least 16 security personnel were killed in an attack by the Taliban on a security checkpoint at the Salma Dam in Afghanistan's Herat province on Sunday. The checkpoint and its equipment had reportedly fallen into the hands of Taliban. Notably, Afghanistan has been witnessing a surge in violence as the Taliban has intensified its offensive against the government.",world
Good progress has been achieved: Iran on talks with rival S Arabia,"An Iranian government spokesman on Tuesday said that good progress has been made in talks between Iran and its regional rival Saudi Arabia. Some of the disputes between the two countries are complex and may take time to resolve, he added. In an effort to contain tensions between them, Saudi Arabia and Iran began direct talks in April.",world
Iran's outgoing Prez Rouhani apologises after summer power outages,"Iran's outgoing President Hassan Rouhani apologised on Tuesday for the country's most severe summer power outages, as blackouts crippled businesses and darken homes for hours a day. ""My apologies to...people who have faced these problems and pain,"" he said. In recent days, the regular blackouts have spread chaos in Tehran and other cities, knocking out traffic lights and shutting factories.",world
UK Foreign Office apologises for historical ban on LGBT staff,"UK's Foreign, Commonwealth and Development Office (FCDO) has apologised for the historical ban on hiring LGBT staff, which was lifted in 1991. ""The ban was in place because there was a perception that LGBT people were more susceptible...to blackmail and therefore...posed a security risk,"" Philip Barton, Permanent Under-Secretary at FCDO, said. This ""misguided view"" ended some careers, he added.",world
Israel attacked a civilian nuclear site in June: Iran,"Iran on Tuesday accused Israel of sabotage attack in June that reportedly targeted a civilian nuclear facility near Tehran, state media reported. Cabinet spokesman Ali Rabiei alleged that the attack sought to thwart ongoing talks in Vienna to revive Iran's nuclear deal with world powers, IRNA news agency reported. Rabiei added that there was limited damage from the sabotage attempt. ",world
"China, US can coexist in peace but challenge is enormous: WH","White House Indo-Pacific Coordinator Kurt Campbell on Tuesday said that it is possible for China and the US to coexist in peace but the challenge is enormous. China is becoming increasingly assertive in recent times, taking on many countries simultaneously, he added. This strategy is in contrast to how China operated in the 1990s, he further said.",world
Ready to help Tajikistan secure border with Afghanistan: Russia,"Russia on Monday said that it is ready to help Tajikistan secure the border with Afghanistan amid an advance by Taliban fighters against Afghan forces. Russia operates one of its largest military bases abroad in Tajikistan. ""According to some sources, up to 70% of...Tajik-Afghan border is now controlled by...Taliban,"" Russian Deputy Foreign Minister Andrey Rudenko said.",world
Uyghur community in France protests against China over Xinjiang,"The Uyghur community in France on Monday held protests over reports of mistreatment meted out to their fellow people in China's Xinjiang. The protests, organised by Association des Ouïghours de France, were meant as a medium to raise awareness about the alleged ongoing genocide. Protesters waved the community's blue flag and shouted slogans against the atrocities by China against Uyghurs.",world
4 bodies found in rubble of building in US; total deaths at 32,"Four more bodies were recovered from the rubble of a collapsed residential building in US' Florida, taking the total death toll to 32, a fire official said on Tuesday. More than 110 others are still missing since the collapse on June 24. No one has been rescued alive since the first hours after the building's collapse, according to AP.",world
How does the latest Cricket World Cup Super League points table read?,"England accumulated 25 points from their 2-0 series win against Sri Lanka and have consolidated their position at the top of the Cricket World Cup Super League points table. Bangladesh are second with 50 points on the table and are followed by Australia and Pakistan, who have 40 points each. Top-seven ranked teams will automatically qualify for 2023 World Cup.",sports
Mohammad Azharuddin reinstated as Hyderabad Cricket Association President,"Former Team India captain Mohammad Azharuddin was reinstated as President of the Hyderabad Cricket Association on Sunday by ombudsman Justice (retd) Deepak Verma. In an interim order, the ombudsman temporarily disqualified five members of the Apex Council who had ""suspended"" Azharuddin for alleged violation of its constitution. Allegations of conflict of interest were levelled at Azharuddin.",sports
COVID-19 outbreak forces England to change entire ODI squad for Pakistan series,"England have named a new ODI squad for the series against Pakistan, which includes nine uncapped players. Ben Stokes will be captaining the side for the first time. The announcement comes after three members of the initial playing group and four members of the management staff tested positive for COVID-19, and consequently the entire initial squad was required to isolate.",sports
Mithali Raj becomes world number one Women's ODI batter for the 8th time,"India Women captain Mithali Raj has reclaimed the world number one spot in the ICC Women's ODI rankings. It is the eighth time in her 22-year career that Mithali has grabbed the number one position. Mithali, who has hit four consecutive ODI fifties, gained four spots to reach the top of the rankings in the latest weekly update.",sports
"I read criticism about my strike rate, I don't look to please people: Mithali Raj","India Women ODI captain Mithali Raj said she reads criticism about her strike rate, but she doesn't seek validation from people. ""I've played for a long time and I know...I've a certain responsibility in the team. I don't look to please people,"" she said. Mithali has scored 285 runs in last four ODI innings at strike rate of 73.",sports
"Harsha Bhogle calls coronavirus 'Chinese virus', defends himself after criticism","Commentator Harsha Bhogle called coronavirus 'Chinese virus' while tweeting on England team members testing positive. Several people criticised him, with one writing, ""Very unlike you. Absolutely no need to politicise it."" ""I noticed...use of...South African variant...Brazil variant and...Indian variant. I guess it's the norm to refer to something by...country of origin,"" Bhogle defended himself.",sports
